2020-11-10 14:09:19 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2020-11-10 14:09:19 [main] INFO  com.pingan.pahm.PahmApplication - Starting PahmApplication on LAPTOP-S1HD2I46 with PID 9612 (E:\workspace\PAHM-Perfomance\target\classes started by linmoo in E:\workspace\PAHM-Perfomance)
2020-11-10 14:09:19 [main] INFO  com.pingan.pahm.PahmApplication - No active profile set, falling back to default profiles: default
2020-11-10 14:09:20 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.pingan.pahm]' package. Please check your configuration.
2020-11-10 14:09:20 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-11-10 14:09:20 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6ms. Found 0 JPA repository interfaces.
2020-11-10 14:09:21 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9091 (http)
2020-11-10 14:09:21 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9091"]
2020-11-10 14:09:21 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-10 14:09:21 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-11-10 14:09:21 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-10 14:09:21 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1647 ms
2020-11-10 14:09:21 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration': Unsatisfied dependency expressed through constructor parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception; nested exception is org.springframework.boot.autoconfigure.jdbc.DataSourceProperties$DataSourceBeanCreationException: Failed to determine a suitable driver class
2020-11-10 14:09:21 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-11-10 14:09:21 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-11-10 14:13:16 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2020-11-10 14:13:16 [main] INFO  com.pingan.pahm.PahmApplication - Starting PahmApplication on LAPTOP-S1HD2I46 with PID 7256 (E:\workspace\PAHM-Perfomance\target\classes started by linmoo in E:\workspace\PAHM-Perfomance)
2020-11-10 14:13:16 [main] INFO  com.pingan.pahm.PahmApplication - No active profile set, falling back to default profiles: default
